url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
gouda.nl,18674,88939,38,23,13,183,4.9717216,2.4528513,1.1542376,0.000183,5.35283
rijksvastgoedbedrijf.nl,54387,269841,35,59,19,102,4.128552,2.9417615,1.1615283,0,7.2996025
rijksvastgoedbedrijf.nl,54387,269841,35,59,19,102,4.1028504,3.0270603,1.2357631,0.000122,5.8334103
rijksvastgoedbedrijf.nl,54387,269841,35,59,19,102,4.165849,2.9858217,1.2258246,0,6.0176945
rijksvastgoedbedrijf.nl,54387,269841,35,59,19,102,4.1310325,2.7001798,1.1199903,0,5.6058245
rijksvastgoedbedrijf.nl,54387,269841,35,59,19,102,4.152465,2.7071319,1.1301072,0.000061,5.0515738
odnhn.nl,12632,55462,68,37,12,99,4.23845,11.963955,3.8972607,0,24.302673
odnhn.nl,12632,55462,68,37,12,99,4.1740704,2.1934757,0.90117764,0.000061,4.6531343
odnhn.nl,12632,55462,68,37,12,99,4.200994,1.9580393,0.8134098,0,4.397484
odnhn.nl,12632,55462,68,37,12,99,4.168043,1.7576578,0.73921186,0,3.5746412
odnhn.nl,12632,55462,68,37,12,99,4.225289,1.7562044,0.8159746,0.000244,4.304737
architectenregister.nl,121772,582342,28,5,12,310,5.653571,16.824026,9.515712,0,36.5644
architectenregister.nl,121772,582342,28,5,12,310,5.067339,13.48802,7.329444,0.000245,28.235798
architectenregister.nl,121772,582342,28,5,12,310,5.093741,14.382221,7.5767937,0,28.762718
architectenregister.nl,121772,582342,28,5,12,310,4.952906,13.598861,7.3254423,0,28.087955
architectenregister.nl,121772,582342,28,5,12,310,5.170068,13.375385,7.3952518,0.000244,27.475765
stedebroec.nl,19014,94381,51,19,12,300,5.594742,3.361242,1.535212,0.000122,8.11956
stedebroec.nl,19014,94381,51,19,12,300,5.492457,2.2089057,1.1311879,0,4.7222185
stedebroec.nl,19014,94381,51,19,12,300,5.3283057,2.0519078,0.98084867,0.000183,4.575226
stedebroec.nl,19014,94381,51,19,12,300,5.850016,2.4460547,1.0782229,0,5.1296463
stedebroec.nl,19014,94381,51,19,12,300,5.642495,2.1842043,1.1148388,0.000122,5.029934
technologybase.nl,7173,54240,50,7,54,191,4.42561,22.574516,14.673301,0,49.828926
technologybase.nl,7173,54240,50,7,54,191,4.454443,22.634396,14.772373,0,47.412193
technologybase.nl,7173,54240,50,7,54,191,4.3854995,22.08144,14.631805,0.000122,47.180454
technologybase.nl,7173,54240,50,7,54,191,4.437988,22.432537,14.825114,0,49.235092
technologybase.nl,7173,54240,50,7,54,191,4.451401,22.522549,14.667898,0.000244,49.26364
ameland.nl,39588,224401,49,23,8,166,4.2699547,2.478269,1.2143495,0,6.816677
ameland.nl,39588,224401,49,23,8,166,4.3719306,3.0187292,1.3230819,0.000122,6.433551
ameland.nl,39588,224401,49,23,8,166,4.3754816,2.3097181,1.192784,0,5.2683125
ameland.nl,39588,224401,49,23,8,166,4.3597655,2.3135371,1.2738909,0.000122,4.808093
